ID,EMPRESA,Setor primário,SSL/TLS enabled,Responsive
326,Rumo Malha Oeste,"Transporte, Logística e Serviços Logísticos",True,False
327,Starr,Seguradoras,True,True
328,State Grid,Energia,True,False
329,WEG Elétricos,Bens de Capital e Eletroeletrônicos,True,
330,Stefanini,Tecnologia e Telecomunicações,True,False
331,Stima Energia,Energia,True,True
332,Suhai Seguradora,Seguradoras,True,True
333,SulAmérica Odontológico,Operadoras de Planos de Saúde,True,
334,Suma Brasil,Saneamento e Meio Ambiente,True,True
335,Tambasa,Moda e Vestuário,True,False
336,Taurus,Bens de Capital e Eletroeletrônicos,True,True
337,Tempo Energia,Energia,True,True
338,Timbro,Agronegócio,True,True
339,Timenow,Imobiliário e Construção Civil,True,True
340,Todeschini,Imobiliário e Construção Civil,,
341,Too Seguros,Seguradoras,True,True
342,Top Center,Imobiliário e Construção Civil,False,True
343,Banco Investcred Unibanco,Bancos,,
344,Transpetro,"Transporte, Logística e Serviços Logísticos",True,False
345,Triunfo Transbrasiliana,"Transporte, Logística e Serviços Logísticos",True,True
346,Unipar Carbocloro,Petróleo e Químico,True,False
347,Valid,Tecnologia e Telecomunicações,True,True
348,Vamos Locação de Caminhões,"Transporte, Logística e Serviços Logísticos",True,True
349,Veracel Celulose,Papel e Celulose,True,True
350,Vero,Tecnologia e Telecomunicações,True,True
351,Vesta,Moda e Vestuário,True,True
352,Vicunha Têxtil,Moda e Vestuário,True,False
353,Vipal Borrachas,Petróleo e Químico,True,True
354,Virgo,Serviços Financeiros,True,False
355,Vittia,Agronegócio,,
356,Vivo,Tecnologia e Telecomunicações,True,False
357,Wiz,Seguradoras,,
358,3tentos,Agronegócio,,
359,Banco ABC,Bancos,True,True
360,Banco ABN Amro,Bancos,True,True
361,Aché,Farmacêutico e Beleza,True,True
362,Açotubo,"Siderurgia, Mineração e Metalurgia",True,True
363,Agência Estado,Participações e Mídia,True,False
364,AEC,Participações e Mídia,True,True
365,Aegea,Saneamento e Meio Ambiente,True,True
366,Afton Chemical,Petróleo e Químico,True,False
367,Afya,Educação,True,False
368,Agribrasil,Agronegócio,True,True
369,Agroscrew Participações Societárias,Participações e Mídia,True,False
370,Viação Águia Branca,"Transporte, Logística e Serviços Logísticos",True,True
371,AIG Seguros,Seguradoras,True,
372,Triple Play,Participações e Mídia,True,
373,Alelo,Serviços Financeiros,True,True
